"Name","Path","Type","Pkg","Git","Branch","Remote","AS","Clasp","SB","Ready"
"CBV-TONG-HOP-HOA-DON","D:\Workspace\projects\CBV-TONG-HOP-HOA-DON","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CONTRIBUTOR_SYSTEM","D:\Workspace\projects\CONTRIBUTOR_SYSTEM","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CRM_HTX_CSKH-TELESALE_COORDINATION","D:\Workspace\projects\CRM_HTX_CSKH-TELESALE_COORDINATION","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"DEC_DECISION_ENGINE","D:\Workspace\projects\DEC_DECISION_ENGINE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"DEV.G.HCM_HTX-hoa-don-dau-vao","D:\Workspace\projects\DEV.G.HCM_HTX-hoa-don-dau-vao","AppsScript","False","True","main","github.com (credential stripped)","2","1","0","PILOT_CANDIDATE"
"DEV_G-htxdthcm-tra-cuu-hoi-dap","D:\Workspace\projects\DEV_G-htxdthcm-tra-cuu-hoi-dap","Mixed","True","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"DEV_Gmail-Hoa-Don-Dien-Tu","D:\Workspace\projects\DEV_Gmail-Hoa-Don-Dien-Tu","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"DEV_G-TRO-LY-V2","D:\Workspace\projects\DEV_G-TRO-LY-V2","AppsScript","False","True","staging","github.com (credential stripped)","1","2","0","LAB"
"DRIVE_SHARE_CHECKER","D:\Workspace\projects\DRIVE_SHARE_CHECKER","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"FINANCE_INVOICE_PIPELINE","D:\Workspace\projects\FINANCE_INVOICE_PIPELINE","AppsScript","False","True","main","github.com (credential stripped)","2","2","0","PILOT_CANDIDATE"
"HCM-xu-ly-hoa-don-dau-vao","D:\Workspace\projects\HCM-xu-ly-hoa-don-dau-vao","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"HOSO-SEARCH","D:\Workspace\projects\HOSO-SEARCH","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"HTX-Frontend-Installer","D:\Workspace\projects\HTX-Frontend-Installer","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"HUB-AI-PC-APP","D:\Workspace\projects\HUB-AI-PC-APP","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"IDP","D:\Workspace\projects\IDP","Mixed","True","True","main","git@github.com:vinanissi/idp.git","1","1","0","PILOT_CANDIDATE"
"IDP_InvoiceEngine_PC","D:\Workspace\projects\IDP_InvoiceEngine_PC","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"IDP_Tools_PC","D:\Workspace\projects\IDP_Tools_PC","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"INTAKE_GATE_AI","D:\Workspace\projects\INTAKE_GATE_AI","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"INVOICE_OCR_SYSTEM","D:\Workspace\projects\INVOICE_OCR_SYSTEM","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"INVOICE_QUEUE_DB","D:\Workspace\projects\INVOICE_QUEUE_DB","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"InvoiceLIB","D:\Workspace\projects\InvoiceLIB","Mixed","True","True","dev","github.com (credential stripped)","1","1","0","LAB"
"InvoiceLib_v2","D:\Workspace\projects\InvoiceLib_v2","AppsScript","False","True","dev","git@github.com:vinanissi/InvoiceLib_v2.git","2","1","0","LAB"
"KPI_MANAGEMENT","D:\Workspace\projects\KPI_MANAGEMENT","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"LAOCONG_VOS_PLATFORM","D:\Workspace\projects\LAOCONG_VOS_PLATFORM","NodeReact","True","True","phase/004-database-bootstrap","git@github.com:vinanissi/laocong-vos-platform.git","0","0","0","PILOT"
"LEAVE MANAGEMENT","D:\Workspace\projects\LEAVE MANAGEMENT","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"MOD_INVOICE_DRAFT_UI_Cloudflare_Worker+Pages","D:\Workspace\projects\MOD_INVOICE_DRAFT_UI_Cloudflare_Worker+Pages","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"MVP-xu-ly-hoa-don-dau-vao","D:\Workspace\projects\MVP-xu-ly-hoa-don-dau-vao","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"NCC.HD_HOA_DON_DIEN_THOAI_THE_SIM","D:\Workspace\projects\NCC.HD_HOA_DON_DIEN_THOAI_THE_SIM","AppsScript","False","True","staging","github.com (credential stripped)","1","1","0","LAB"
"NCC.TheSim-hoa-don-dau-vao","D:\Workspace\projects\NCC.TheSim-hoa-don-dau-vao","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"NCC_TheSim-hoa-don","D:\Workspace\projects\NCC_TheSim-hoa-don","AppsScript","False","True","staging","github.com (credential stripped)","1","1","0","LAB"
"New folder","D:\Workspace\projects\New folder","UNKNOWN","False","False","","","0","0","0","LAB"
"NHIEM-VU_GIAO-NHAN-KPI","D:\Workspace\projects\NHIEM-VU_GIAO-NHAN-KPI","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"OCR_WORKER_PC","D:\Workspace\projects\OCR_WORKER_PC","Mixed","True","True","dev","github.com (credential stripped)","5","5","0","LAB"
"ONLINE_TELESALE","D:\Workspace\projects\ONLINE_TELESALE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"PCS-WEBAPP","D:\Workspace\projects\PCS-WEBAPP","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"PCS-WIKI-ENGINE","D:\Workspace\projects\PCS-WIKI-ENGINE","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"PROD-THU-CHI-PLUS","D:\Workspace\projects\PROD-THU-CHI-PLUS","Mixed","True","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"quan-ly-van-ban","D:\Workspace\projects\quan-ly-van-ban","AppsScript","False","False","","","1","1","0","LAB"
"QUAN-LY-VAN-BAN-V3","D:\Workspace\projects\QUAN-LY-VAN-BAN-V3","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"TAI_FILE_HOA_DON_NHAN_VIEN","D:\Workspace\projects\TAI_FILE_HOA_DON_NHAN_VIEN","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"TASK_CONTROL_CENTER (TCC)","D:\Workspace\projects\TASK_CONTROL_CENTER (TCC)","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"Testers","D:\Workspace\projects\Testers","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"UI_TC_TTXV THANH TOAN XA VIEN - HOA DON DAU VAO","D:\Workspace\projects\UI_TC_TTXV THANH TOAN XA VIEN - HOA DON DAU VAO","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"V2-Tro-Ly-AI","D:\Workspace\projects\V2-Tro-Ly-AI","Mixed","True","False","","","3","3","0","LAB"
"V2-UI_TC_TTXV THANH TOAN XA VIEN - HOA DON DAU VAO","D:\Workspace\projects\V2-UI_TC_TTXV THANH TOAN XA VIEN - HOA DON DAU VAO","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"VAN-HANH-FE","D:\Workspace\projects\VAN-HANH-FE","AppsScript","False","True","lean","github.com (credential stripped)","1","1","0","LAB"
"VH-HTX-PHAN-HOI-PHAP-LY","D:\Workspace\projects\VH-HTX-PHAN-HOI-PHAP-LY","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"VOS_Vi_OPERATIONAL_SYSTEM","D:\Workspace\projects\VOS_Vi_OPERATIONAL_SYSTEM","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"VP54_THANH-CONG_DAU-VAO","D:\Workspace\projects\VP54_THANH-CONG_DAU-VAO","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
